source_db,search_query,title,abstract,authors,year,journal,doi,openalex_id,ss_id,screen_decision,exclusion_reason
OpenAlex,Future Trend Impact Analysis Fisheries,Twenty-year trends in antimicrobial resistance from aquaculture and fisheries in Asia,"Antimicrobial resistance (AMR) is a growing threat to human and animal health. However, in aquatic animals-the fastest growing food animal sector globally-AMR trends are seldom documented, particularly in Asia, which contributes two-thirds of global food fish production. Here, we present a systematic review and meta-analysis of 749 point prevalence surveys reporting antibiotic-resistant bacteria from aquatic food animals in Asia, extracted from 343 articles published in 2000-2019. We find concerning levels of resistance to medically important antimicrobials in foodborne pathogens. In aquaculture, the percentage of antimicrobial compounds per survey with resistance exceeding 50% (P50) plateaued at 33% [95% confidence interval (CI) 28 to 37%] between 2000 and 2018. In fisheries, P50 decreased from 52% [95% CI 39 to 65%] to 22% [95% CI 14 to 30%]. We map AMR at 10-kilometer resolution, finding resistance hotspots along Asia's major river systems and coastal waters of China and India. Regions benefitting most from future surveillance efforts are eastern China and India. Scaling up surveillance to strengthen epidemiological evidence on AMR and inform aquaculture and fisheries interventions is needed to mitigate the impact of AMR globally.",Daniel Schär; Cheng Zhao; Yu Wang; D. G. Joakim Larsson; Marius Gilbert; Thomas P. Van Boeckel,2021.0,Nature Communications,10.1038/s41467-021-25655-8,https://openalex.org/W3198772062,,included,
OpenAlex,Future Trend Impact Analysis Fisheries,"Marine Heatwaves in China's Marginal Seas and Adjacent Offshore Waters: Past, Present, and Future","Abstract Under the combined impacts of natural changes and human activities, the past, current, and future marine heatwaves (MHWs) in China's marginal seas and adjacent offshore waters (CMSOW) need a comprehensive understanding. This study provides a systematic analysis of the spatiotemporal variations using daily sea surface temperature data and simulates the future trend using 12 climate models. During 1982–2018, the mean annual total days, duration, frequency, and mean intensity of the MHWs in the CMSOW increased by 20–30 days/decade, 5–9 days/decade, 1–2 decade −1 , and 0.1–0.3°C/decade, respectively ( p &lt;0.01). The maximum sea surface temperature anomalies in the Bohai Sea was over 6–8°C, and the MHW's frequency, duration, and mean intensity were higher than twice the global average, which could have impacted fishery resources and occurrence of harmful algal blooms. The variations of the MHWs in the CMSOW result from the robust ocean surface warming, which is caused by increased solar radiation due to reduced cloud cover, reduced ocean heat loss from weaker wind speed, weakening but warmer Kuroshio, and strong El Niño. In the future, the areas with longer total days and duration will increase; the spatial pattern of frequency has a negative relationship with that of duration while that of mean intensity is mostly unchanged. Year 2040 is a key node for the future changes of MHW under different Representative Concentration Pathways. The trend of total days increases from fast to slow, and frequency shows an opposite trend; the duration and mean intensity rise faster after 2040.",Yulong Yao; Junjie Wang; Jianjun Yin; Xinqing Zou,2020.0,Journal of Geophysical Research Oceans,10.1029/2019jc015801,https://openalex.org/W3008346068,,included,
OpenAlex,Future Trend Impact Analysis Fisheries,Marine litter on deep Arctic seafloor continues to increase and spreads to the North at the HAUSGARTEN observatory,"The increased global production of plastics has been mirrored by greater accumulations of plastic litter in marine environments worldwide. Global plastic litter estimates based on field observations account only for 1% of the total volumes of plastic assumed to enter the marine ecosystem from land, raising again the question ‘Where is all the plastic? ’. Scant information exists on temporal trends on litter transport and litter accumulation on the deep seafloor. Here, we present the results of photographic time-series surveys indicating a strong increase in marine litter over the period of 2002–2014 at two stations of the HAUSGARTEN observatory in the Arctic (2500 m depth). Plastic accounted for the highest proportion (47%) of litter recorded at HAUSGARTEN for the whole study period. When the most southern station was considered separately, the proportion of plastic items was even higher (65%). Increasing quantities of small plastics raise concerns about fragmentation and future microplastic contamination. Analysis of litter types and sizes indicate temporal and spatial differences in the transport pathways to the deep sea for different categories of litter. Litter densities were positively correlated with the counts of ship entering harbour at Longyearbyen, the number of active fishing vessels and extent of summer sea ice. Sea ice may act as a transport vehicle for entrained litter, being released during periods of melting. The receding sea ice coverage associated with global change has opened hitherto largely inaccessible environments to humans and the impacts of tourism, industrial activities including shipping and fisheries, all of which are potential sources of marine litter.",Mine Banu Tekman; Thomas Krumpen; Melanie Bergmann,2016.0,Deep Sea Research Part I Oceanographic Research Papers,10.1016/j.dsr.2016.12.011,https://openalex.org/W2567549542,,included,
OpenAlex,Future Trend Impact Analysis Fisheries,Historical impact of water infrastructure on water levels of the Mekong River and the Tonle Sap system,"Abstract. The rapid rate of water infrastructure development in the Mekong Basin is a cause for concern due to its potential impact on fisheries and downstream natural ecosystems. In this paper, we analyze the historical water levels of the Mekong River and Tonle Sap system by comparing pre- and post-1991 daily observations from six stations along the Mekong mainstream from Chiang Saen (northern Thailand), to Stung Treng (Cambodia), and the Prek Kdam station on the Tonle Sap River. Observed alterations in water level patterns along the Mekong are linked to temporal and spatial trends in water infrastructure development from 1960 to 2010. We argue that variations in historical climatic factors are important, but they are not the main cause of observed changes in key hydrological indicators related to ecosystem productivity. Our analysis shows that the development of mainstream dams in the upper Mekong Basin in the post-1991 period may have resulted in a modest increase of 30-day minimum levels (+17%), but significant increases in fall rates (+42%) and the number of water level fluctuations (+75%) observed in Chiang Saen. This effect diminishes downstream until it becomes negligible at Mukdahan (northeast Thailand), which represents a drainage area of over 50% of the total Mekong Basin. Further downstream at Pakse (southern Laos), alterations to the number of fluctuations and rise rate became strongly significant after 1991. The observed alterations slowly decrease downstream, but modified rise rates, fall rates, and dry season water levels were still quantifiable and significant as far as Prek Kdam. This paper provides the first set of evidence of hydrological alterations in the Mekong beyond the Chinese dam cascade in the upper Mekong. Given the evident alterations at Pakse and downstream, post-1991 changes could also be directly attributed to water infrastructure development in the Chi and Mun basins of Thailand. A reduction of 23 and 11% in the water raising and falling rates respectively at Prek Kdam provides evidence of a diminished Tonle Sap flood pulse in the post-1991 period. Given the observed water level alterations from 1991 to 2010 as a result of water infrastructure development, we can extrapolate that future development in the mainstream and the key transboundary Srepok, Sesan, and Sekong sub-basins will have an even greater effect on the Tonle Sap flood regime, the lower Mekong floodplain, and the delta.",Thomas A. Cochrane; Mauricio E. Arias; Thanapon Piman,2014.0,Hydrology and earth system sciences,10.5194/hess-18-4529-2014,https://openalex.org/W2105146752,,included,
OpenAlex,Future Trend Impact Analysis Fisheries,Post-release survival of juvenile silky sharks captured in a tropical tuna purse seine fishery,"MEPS Marine Ecology Progress Series Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 521:143-154 (2015) - DOI: https://doi.org/10.3354/meps11073 Post-release survival of juvenile silky sharks captured in a tropical tuna purse seine fishery Melanie Rhiannon Hutchinson1,*, David George Itano2,3,4, Jeffrey Allen Muir2,3,5, Kim Nicholas Holland1 1Department of Zoology, University of Hawaii, Hawaii Institute of Marine Biology, PO Box 1346 Kaneohe, Hawaii 96744, USA 2International Seafood Sustainability Foundation, 805 15th Street NW, Suite 650, Washington D.C. 20005, USA 3Pelagic Fisheries Research Program, University of Hawaii, Marine Science Building 312, Honolulu, Hawaii 96822, USA 4Present address: NOAA Inouye Regional Center, NMFS/PIR/PIRO/SFD, 1845 Wasp Blvd. Bldg. 176 Honolulu, Hawaii 96818, USA 5Present address: Hawaii Institute of Marine Biology, PO Box 1346 Kaneohe, Hawaii 96744, USA *Corresponding author: melanier@hawaii.edu ABSTRACT: Juvenile silky sharks Carcharhinus falciformis comprise the largest component of the incidental elasmobranch catch taken in tropical tuna purse seine fisheries. During a chartered cruise on board a tuna purse seine vessel conducting typical fishing operations we investigated the post-release survival and rates of interaction with fishing gear of incidentally captured silky sharks using a combination of satellite linked pop-up tags and blood chemistry analysis. To identify trends in survival probability and the point in the fishing interaction when sharks sustain the injuries that lead to mortality, sharks were sampled during every stage of the fishing procedure. The total mortality rates of silky sharks captured in purse seine gear was found to exceed 84%. We found survival to precipitously decline once the silky sharks had been confined in the sack portion of the net just prior to loading. Additionally, shark interactions recorded by the scientists were markedly higher than those recorded by vessel officers and the fishery observer. Future efforts to reduce the impact of purse seine fishing on silky shark populations should be focused on avoidance or releasing sharks while they are still free swimming. KEY WORDS: Post-release survival · Bycatch · Silky shark · Fish aggregating device Full text in pdf format PreviousNextCite this article as: Hutchinson MR, Itano DG, Muir JA, Holland KN (2015) Post-release survival of juvenile silky sharks captured in a tropical tuna purse seine fishery. Mar Ecol Prog Ser 521:143-154. https://doi.org/10.3354/meps11073 Export citation RSS - Facebook - Tweet - linkedIn Cited by Published in MEPS Vol. 521. Online publication date: February 17, 2015 Print ISSN: 0171-8630; Online ISSN: 1616-1599 Copyright © 2015 Inter-Research.",M. R. Hutchinson; DG Itano; JA Muir; KN Holland,2014.0,Marine Ecology Progress Series,10.3354/meps11073,https://openalex.org/W2326373559,,included,
OpenAlex,Future Trend Impact Analysis Fisheries,Towards Improved Management of Tropical Invertebrate Fisheries: Including Time Series and Gender,"Invertebrate harvesting is an important livelihood in tropical settings providing income and food for numerous populations throughout the world. However, the lack of research, policy and management directed towards this livelihood hinders the analysis of time trends to evaluate invertebrate resources status. Another missing aspect is the consideration of gender analysis, i.e., the different roles and interests of men and women engaged in this activity. Based on interviews, catch assessments and inventories this multi-disciplinary study from Chwaka Bay (Zanzibar, Tanzania) shows how unregulated harvesting of invertebrates may result in sharp declines in animal abundance over a relatively short period of time (2005 to 2010), threatening the sustainability of the fishery. Specifically, the results show that catches in general, and prime target species of gastropods and bivalves in particular, had been significantly reduced in number and size. Interviews revealed gender disparities; female harvesters experienced less access to good fishing/collecting grounds and species of high value, which subsequently resulted in lower individual income. This is tightly linked to women's reproductive roles, which not only leads to limited mobility but also lessen their chances to accumulate livelihood assets (natural, physical, financial, social and human capital) thus impacting livelihood strategies. To protect invertebrate resources from overexploitation, and assure a constant flow of income and food for future generations, this case study illustrates the need for formal monitoring to assess changes in invertebrate resources, and possible ecological consequences, over time. Managers and policy-makers must also address gender to evaluate the contribution of all resource users, their capacity to cope with changing conditions, as well as specific interests.",Sara Fröcklin; Maricela de la Torre‐Castro; Elin Håkansson; Anna Carlsson; Madeleine Magnusson; Narriman Jiddawi,2014.0,PLoS ONE,10.1371/journal.pone.0091161,https://openalex.org/W2042087684,,included,
OpenAlex,Future Trend Impact Analysis Fisheries,Coral Reefs Under Rapid Climate Change and Ocean Acidification,"Atmospheric carbon dioxide concentration is expected to exceed 500 parts per million and global temperatures to rise by at least 2 degrees C by 2050 to 2100, values that significantly exceed those of at least the past 420,000 years during which most extant marine organisms evolved. Under conditions expected in the 21st century, global warming and ocean acidification will compromise carbonate accretion, with corals becoming increasingly rare on reef systems. The result will be less diverse reef communities and carbonate reef structures that fail to be maintained. Climate change also exacerbates local stresses from declining water quality and overexploitation of key species, driving reefs increasingly toward the tipping point for functional collapse. This review presents future scenarios for coral reefs that predict increasingly serious consequences for reef-associated fisheries, tourism, coastal protection, and people. As the International Year of the Reef 2008 begins, scaled-up management intervention and decisive action on global emissions are required if the loss of coral-dominated ecosystems is to be avoided.",Ove Hoegh‐Guldberg; Peter J. Mumby; Anthony J. Hooten; Robert S. Steneck; Paul Greenfield; E. D. Gomez; C. Drew Harvell; Peter F. Sale; Alasdair J. Edwards; K. Caldeira; Nancy­ Knowlton­; C. Mark Eakin; Roberto Iglesias‐Prieto; Nyawira A. Muthiga; Roger Bradbury; Alfonse Dubi; Marea Eleni Hatziolos,2007.0,Science,10.1126/science.1152509,https://openalex.org/W2123920115,,included,
OpenAlex,Future Trend Impact Analysis Fisheries,Multiple-threats analysis for loggerhead sea turtles in the southwest Atlantic Ocean,"Priority-setting approaches for widely distributed and long-lived species can be challenging. This is especially true for sea turtles, which are species of conservation concern. The aim of this study was to conduct a detailed analysis of threats to identify, quantify and prioritize the main impacts to the loggerhead Caretta caretta population in the southwest Atlantic (SWA) region. A matrix of relative threats was constructed. Threats were identified and classified for 8 different life stages (nesting females, eggs, hatchlings, swim-frenzy transitional stage, juveniles-neritic, juveniles-oceanic, adults-neritic, adults-oceanic) and for 3 ecosystems inhabited by sea turtles (terrestrial, neritic and oceanic). Results indicated that fisheries bycatch represents a major threat for loggerheads in the SWA. The trawl fishery was identified as the main source of mortality for neritic juvenile and adult turtles, whereas juveniles in oceanic areas are mostly impacted by surface longlines. In terrestrial environments, eggs and hatchlings are mainly affected by habitat alteration and by native and exotic predators. Loggerheads have shown a positive nesting trend at their main nesting beaches in the SWA, probably due to long-term conservation efforts to reduce mortality of the different life stages within the terrestrial zone. However, the high mortality rates of juveniles and sub-adults documented at some known foraging grounds represent a reason for concern, as this may affect the overall population trend in the future. This threat analysis provides a tool to review the goals of national action plans, prioritize actions and optimize the allocation of management resources.",Milagros López‐Mendilaharsu; Bruno Giffoni; Diego Levi Silveira Monteiro; Laura Prosdocimi; Gabriela M. Vélez‐Rubio; Alejandro Fallabrino; Andrés Estrades; AS Santos; PH Lara; Thaís Torres Pires; Manjula Tiwari; Alan B. Bolten; Maria Ângela Marcovaldi,2020.0,Endangered Species Research,10.3354/esr01025,https://openalex.org/W2998858045,,included,
OpenAlex,Future Trend Impact Analysis Fisheries,Long Term Trend Analysis of River Flow and Climate in Northern Canada,"Changes in water resources within basins can significantly impact ecosystems, agriculture, and biodiversity, among others. Basins in northern Canada have a cold climate, and the recent changes in climate can have a profound impact on water resources in these basins. Therefore, it is crucial to study long term trends in water flow as well as their influential factors, such as temperature and precipitation. This study focused on analyzing long term trends in water flow across the Athabasca River Basin (ARB) and Peace River Basin (PRB). Long term trends in temperature and precipitation within these basins were also studied. Water flow data from 18 hydrometric stations provided by Water Survey of Canada were analyzed using the Mann-Kendall test and Sen’s slope. In addition, hybrid climate data provided by Alberta Environment and Parks at approximately 10 km spatial resolution were analyzed for the ARB and its surrounding regions during 1950–2019. Trend analysis was performed on the water flow data on monthly, seasonal, and annual scales, and the results were cross-checked with trends in temperature and precipitation and land use and land cover data. The overall temperature across the basins has been increasing since 1950, while precipitation showed an insignificant decrease during this period. Winter water flow in the upper ARB has been slowly and steadily increasing since 1956 because of the rising temperatures and the subsequent slow melting of snowpacks/glaciers. The warm season flows in the middle and lower subregions declined up to 1981, then started to show an increasing trend. The middle and lower ARB exhibited a rapid increase in warm-season water flow since 2015. A similar trend change was also observed in the PRB. The gradual increase in water flow observed in the recent decades may continue by the mid-century, which is beneficial for agriculture, forestry, fishery, and industry. However, climate and land cover changes may alter the trend of water flow in the future; therefore, it is important to have a proper management plan for water usage in the next decades.",Mohamed Sherif Zaghloul; Ebrahim Ghaderpour; Hatef Dastour; Babak Farjad; Anil Gupta; Hyung‐Il Eum; Gopal Achari; Quazi K. Hassan,2022.0,Hydrology,10.3390/hydrology9110197,https://openalex.org/W4308518061,,included,
OpenAlex,Future Trend Impact Analysis Fisheries,[Methods for Evaluating the Impacts of Fisheries on North Atlantic Ecosystems],"The contributions in this report stem from a workshop held in April 2000 to review the methodology deployed by the research team of the Sea Around Us Project. This project, funded by The Pew Charitable Trusts, Philadelphia, USA, is designed to provide an integrated analysis of the impacts of fisheries on marine ecosystems, and to devise policies that can mitigate and reverse harmful trends whilst ensuring the social and economic benefits of sustainable fisheries. The data–rich North Atlantic was selected as the target area for case studies to be conducted in the first two years of the project, with other areas to follow in subsequent years. The methodology deployed by the project includes: (1) the development of a spatially explicit catch and effort information system that allows in-depth analysis of fisheries catches for various large marine ecosystems, i.e., reported landings, nominal catches, unreported catches, misreported catches, and discarded by-catch, sorted by species and sector; (2) the quantification of the biological and economic impacts of the present fishing trends or a change thereof on the ecosystems, with reference to past ecosystems reconstructed from time series of scientific data and the Ecopath with Ecosim software; (3) the quantitative evaluation of the status of fisheries by sector, gear type and location using a robust and simple system of rapid appraisal (Rapfish) that may be applied to past, present and alternative future fisheries; (4) approaches for scaling all results to a basin-wide scale; and (5) quantification of the economic and other benefits to be gained from re-establishing healthy ecosystems, relative to the losses expected from a continuation of the status quo. An important feature of the methodology assembled to meet these requirements is that it does not compete with the elaborate single-species methodology conventionally applied to the management of fisheries, and which generally pertain to geographic and temporal scales much smaller than the basin-wide scale considered by the Sea Around Us Project.",Daniel Pauly; Tony J. Pitcher,2017.0,cIRcle (University of British Columbia),10.14288/1.0348147,https://openalex.org/W2765450936,,included,
