"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WNUC4C5D","journalArticle","2003","Ziegler, Friederike; Hansson, Per-Anders","Emissions from fuel combustion in Swedish cod fishery","Journal of Cleaner Production","","0959-6526","https://doi.org/10.1016/S0959-6526(02)00050-1","https://www.sciencedirect.com/science/article/pii/S0959652602000501","This study presents emission data (CO2, NOx, CO, HC and SOx) for fishing vessels, calculated per kg of cod landed by Swedish fishermen. Three scenarios are included; one reflecting the fishery and fleet of 1999, one assuming modern engine technology and, finally, a future scenario assuming a slight increase in the use of passive gear (seines and long-lines) and pair trawls instead of single trawls, lower fishing effort and lower emission levels. The effects on the results of different allocation strategies for landed by-catches are evaluated. Data was gathered from official fishery statistics and engine emission data from one of the major manufacturers of marine diesels. Fuel consumption data for otter trawling and gillnet fishing was obtained by having fishermen fill out a questionnaire. The results include emission calculations for gillnet fishing and trawling, and indicate lower emissions per kg of cod caught for gillnet fishing, due to lower fuel consumption. Considerable options for decreasing fuel consumption and emissions produced in cod fisheries through changes in technology and fisheries policy were concluded from this work. Choosing allocation method was shown to be important for the final results, especially in mixed, high-value target fisheries.","2003","2026-05-02 15:48:46","2026-05-02 15:48:46","","303-314","","3","11","","","","","","","","","","","","","","","","","","","","","Cod fishery; Emissions; Energy consumption; Fuel combustion; LCI data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RXKPX9H9","journalArticle","2020","Silas, Mathew O.; Mgeleka, Said S.; Polte, Patrick; Sköld, Mattias; Lindborg, Regina; Torre-Castro, Maricela de la; Gullström, Martin","Adaptive capacity and coping strategies of small-scale coastal fisheries to declining fish catches: Insights from Tanzanian communities","Environmental Science & Policy","","1462-9011","https://doi.org/10.1016/j.envsci.2020.03.012","https://www.sciencedirect.com/science/article/pii/S1462901119309116","Small-scale fishing communities are expected to adapt to fish catch fluctuations linked to global environmental change. Notwithstanding, impacts from severe climate events and overexploitation of fisheries resources can compromise functions and resilience of ecosystems and associated species, and thereby jeopardize long-term population trend stability and fisheries productivity. To date, most assessments and vulnerability studies of fisheries-dependent populaces have focused on global, regional and national levels, while studies at village and community levels, where adaptive planning in the context of climate- and environmental changes is important, are less common. Based on data from official fishery records over a three-decadal period (1984–2016) and recent interviews with artisanal fishermen (319 fishers from eight communities) along the Tanzanian coast, we assessed small-scale fisheries with regard to (i) long-term trends in fishery landings, (ii) long-term alterations in fishing gear use, and (iii) fishers’ perceptions on how they have been coping and adapting to fluctuating fish landings. We further investigated (iv) the adaptive capacity of a wide range of coastal villages by assessing the fishers’ responses to an anticipated future scenario of a major (50 %) decline in landings from the current fisheries catch levels. The long-term trend records of fish landings showed a remarkable ∼50 % reduction in terms of both catch per vessel and catch per fisher from 1984 to 2016. According to the interviews, the majority of fishers (75 %) have changed fishing grounds from nearshore to offshore areas during the last decade, owing to a general perception that nearshore areas have suffered major reduction in fish stocks (due to overfishing and environmental changes related to extreme climate- or weather events), while offshore areas were considered still productive. The change in location of fishing grounds is probably a result of the clear switch in major gear type utilization from beach seine to ring net that occurred over the last decades. With a further progressive decline in fishery catches to a predictive level of 50 % of the current catch level, there is a general perception that artisanal fishers will continue fishing because alternative livelihoods (like crop farming, which employs more than 65 % of the population) have suffered similar negative impact. These findings highlight the need for building adaptive capacity in local coastal communities to develop alternative coping strategies for the impacts of climate- and environmental changes.","2020","2026-05-02 15:48:46","2026-05-02 15:48:46","","67-76","","","108","","","","","","","","","","","","","","","","","","","","","Climate change; Adaptation; Small-scale fisheries; Coastal communities; Fish landings; Gear choice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CQPPTUFP","journalArticle","2017","Tiller, Rachel; Nyman, Elizabeth","The clear and present danger to the Norwegian sovereignty of the Svalbard Fisheries Protection Zone: Enter the snow crab","Ocean & Coastal Management","","0964-5691","https://doi.org/10.1016/j.ocecoaman.2016.12.012","https://www.sciencedirect.com/science/article/pii/S0964569116304124","","2017","2026-05-02 15:48:46","2026-05-02 15:48:46","","24-33","","","137","","","","","","","","","","","","","","","","","","","","","Fisheries; Regime theory; rfmo; Snow crab; Svalbard Treaty","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3KAZE5RE","journalArticle","2017","Lennert, Ann Eileen; Richard, Gaëtan","At the cutting edge of the future: Unravelling depredation, behaviour and movement of killer whales in the act of flexible management regimes in Arctic Greenland","Ocean & Coastal Management","","0964-5691","https://doi.org/10.1016/j.ocecoaman.2017.08.016","https://www.sciencedirect.com/science/article/pii/S0964569116303398","Fisheries are an important resource in many countries, across oceans and along coasts, and, even though it is usually neglected, they bring not only economic value with them but also social value, supporting an important web of cultural practices. Thus, any perturbation on the fish resources may cause a domino effect on both ecosystem and human populations. In this paper we focus on a marine mammal which is entering the Arctic in increasing numbers, the killer whales (Orcinus orca), a major predator that may not only reshape the rapidly changing marine ecosystems via top-down forcing but also affect fisheries and cultural costumes through a specific, socially transmitted behavioural factor: depredation. By assessing the current knowledge of the depredation issue at a global scale as well as the studies of killer whales in the North Atlantic and Arctic waters, we discuss whether an eventual emerging depredation on halibut fisheries in Greenlandic waters should be taken into consideration. We stress a more flexible and cutting edge management regime on the forefront of environmental change and future scenarios. We accentuate an increased recognition of wildlife management also including an understanding of people and that success will be determined largely by political, social and cultural factors. Finally, we conclude that Greenland, being on the cutting edge of change, has high potentiality for building research based on a co-production of knowledge of both natural science and traditional knowledge.","2017","2026-05-02 15:48:46","2026-05-02 15:48:46","","272-281","","","148","","","","","","","","","","","","","","","","","","","","","Climate change; Ecosystems; Economic viability; Cultural practices; Subsistence fishing; Top-down effects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SGBA57ZB","journalArticle","2020","Yang, Yongheng; Wei, Lijuan; Pei, Jianan","Application of Bayesian statistics to model Incidence of Vibrio parahaemolyticus associated with fishery products and their geographical distribution in China","LWT","","0023-6438","https://doi.org/10.1016/j.lwt.2020.109662","https://www.sciencedirect.com/science/article/pii/S0023643820306514","Vibrio parahaemolyticus is a bacterial pathogen commonly detected in fishery products. However, incidences of this pathogen in fishery products reported in previous studies varied dramatically. This study aimed at producing reliable estimates of prevalence and geographical distribution of Vibrio parahaemolyticus in fishery products in China, by the use of hierarchical random effects Bayesian modelling. Results indicated that national incidence of Vibrio parahaemolyticus in fishery products in China was 15.66% (95% CI, 12.88%–18.80%), and remained steady during the period of 2008–2017. Incidences of Vibrio parahaemolyticus in fishery products were generally higher in Southeast compared with the remaining part of China, and varied among different categories of fishery products as well as in different seasons of year. The methods described in this study generated reliable information on the incidence of Vibrio parahaemolyticus associated with fishery products and their geographical distributions in China, and could be used by regulatory authorities and other researchers to quantify prevalence of other food safety hazards associated with specific foods in a given market.","2020","2026-05-02 15:48:46","2026-05-02 15:48:46","","109662","","","130","","","","","","","","","","","","","","","","","","","","","Seafood; Foodborne pathogens; Microbial contamination","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CJJ3RFA2","journalArticle","2024","Elahi, Ehsan; Li, Yuge; Emam, Ali Md; Zhu, Min; Krishnan, Indubala","A systematic review of fish trade and its impact on economic progress: Barriers, opportunities, and outlook for developing countries","Ocean & Coastal Management","","0964-5691","https://doi.org/10.1016/j.ocecoaman.2024.107471","https://www.sciencedirect.com/science/article/pii/S0964569124004563","This study conducts a comprehensive evaluation of fishery commerce effects, with a particular emphasis on developing nations, through a systematic literature review and desk research from 2012 to 2024. The study provides a detailed assessment of the fish trade landscape in these regions by analyzing existing data, official documents, and empirical research. The research reveals a growing global demand for fish, driven by changing dietary preferences and increased health awareness. However, significant challenges impede the sustainable development of the fisheries sector in developing countries. Despite these obstacles, data visualization demonstrates a remarkable increase in developing countries' participation in the global fish market in terms of value and volume. The study identifies substantial untapped potential for these nations to expand their fisheries industry, thereby fostering broader economic growth. Realizing this potential requires a strong emphasis on sustainability, achievable through modernization, stringent regulations, infrastructure improvements, and biodiversity preservation to secure long-term marine investments. The research underscores the importance of engaging all stakeholders in the fishing industry – including workers, shareholders, management bodies, sustainability specialists, and government officials – in developing transparent national and regional policies. This inclusive approach facilitates open dialogue about objectives and necessary trade-offs. The study concludes that sustainable practices and policies in the fish and fisheries sector must be carefully tailored to the specific limitations and advantages of developing countries to ensure balanced and favorable outcomes in future scenarios.","2024","2026-05-02 15:48:46","2026-05-02 15:48:46","","107471","","","259","","","","","","","","","","","","","","","","","","","","","Developing countries; Economic significance; Fish trade; Sustainable practices; Trade barrier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YAD7WEPH","journalArticle","2025","Williams, Hannah M.; Gibbons, Brooke; Langlois, Tim; Navarro, Matthew; Tuffley, Emma-Jade; Lestang, Simon de","From Dusk Til Dawn: Modeling influences on the behavior of western rock lobster, Panulirus cygnus George","Journal of Experimental Marine Biology and Ecology","","0022-0981","https://doi.org/10.1016/j.jembe.2025.152143","https://www.sciencedirect.com/science/article/pii/S0022098125000632","Sustainable fisheries management requires comprehensive understanding of the environmental and biological factors that drive population trends in target species. In the West Coast Rock Lobster Managed Fishery (WCRLMF), this is largely achieved through the integration of catch and catch-rate data to calculate the catchability and infer the health of the stock. However, trends in catchability may not always reflect the underlying behavior of western rock lobster. This pilot study aimed to investigate the environmental and biological influences on the behavior of western rock lobster using multi-day in-situ autonomous camera systems. We filmed three western rock lobster dens for 35 days and the abundance of rock lobsters in each den were counted hourly. We used full-subset generalized additive mixed models (GAMMs) to investigate which covariates were related to the den abundance and the proportion of lobsters present as a function of their activity. We assumed that the lobsters were more active when located outside the den. We found that western rock lobsters were more active when lunar illumination was lowest, swell was highest and when predators were present in the den. Our findings suggested that western rock lobsters may vary their hourly and daily activity in response to the relative risk of predation by foraging more when visibility was lowest and exiting or avoiding the den when a predator was present. Future studies investigating the biotic and abiotic influences on western rock lobster behavior should be undertaken in a fisheries closure to remove the possible confounding effects of fishing activity.","2025","2026-05-02 15:48:46","2026-05-02 15:48:46","","152143","","","593","","","","","","","","","","","","","","","","","","","","","Predator-prey interactions; Abrolhos Islands; Behavior; Lobster","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZD8TGDIQ","journalArticle","2023","Guzmán-Rivas, Fabián; Lazo-Andrade, Jorge; Quispe-Machaca, Marco; Ortega, Juan Carlos; Mora, Sergio; Barría, Patricio; Urzúa, Ángel","Biochemical-ecological composition and bio-stoichiometric ratios of swordfish (Xiphias gladius) gonads in the Southeastern Pacific Ocean","Regional Studies in Marine Science","","2352-4855","https://doi.org/10.1016/j.rsma.2023.103031","https://www.sciencedirect.com/science/article/pii/S2352485523002207","Swordfish (Xiphias gladius), a highly migratory fishery resource of great importance in the Southeastern Pacific Ocean (SEPO), is a species with late sexual maturation, high longevity, and a large body size that spawns and reproduces several times throughout its adulthood. In the present study, we hypothesized that the Biochemical-Ecological Composition (BEC) of the gonad (measured as the lipid, protein, glucose, and energy contents) and its bio-stoichiometric ratios (lipid/protein: L/P; lipid/ glucose: L/G) would be influenced by both female body size (lower jaw fork length in cm, LJFL: <180, 180–260, >260) and time (trimesters: 1,2,3; years: 2017, 2019). Our results revealed that in relation to their body size, female swordfish gonads varied significantly in their BEC, but not in their L/P and L/G ratios during their quarterly development within an annual cycle. These variations in the BEC were noticeable in females of medium (180–260) and larger (>260) sizes. Particularly, as the year progressed, females stored significant amounts of energy during their trophic migration, made evident by the increase in the lipid and protein contents of the gonads, which reached maximum levels towards the end of the year, during the second and third trimesters. These high energy reserves can be used for the reproduction during the last trimester of the year (i.e. austral spring–summer), when the warm temperature and high productivity in the SEPO are optimal for the successful development of oocytes. Future studies considering an ecosystem approach should analyze the classes of lipids and types of fatty acids that are involved in the reproduction of this species, and how they are acquired through the consumption of lipid-rich prey, and subsequently metabolized to be used in reproduction and during early ontogeny.","2023","2026-05-02 15:48:46","2026-05-02 15:48:46","","103031","","","63","","","","","","","","","","","","","","","","","","","","","Fisheries; Biochemical composition; Physiology; Highly migratory species; Oocyte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YUSASAWC","journalArticle","2022","Heuvel, Lotte van den; Blicharska, Malgorzata; Stensland, Stian; Rönnbäck, Patrik","Been there, done that? Effects of centrality-to-lifestyle and experience use history on angling tourists’ loyalty to a Swedish salmon fishery","Journal of Outdoor Recreation and Tourism","","2213-0780","https://doi.org/10.1016/j.jort.2022.100549","https://www.sciencedirect.com/science/article/pii/S221307802200069X","The incorporation of theories and methods from tourism research in recreational fisheries research is not common practice, despite many parallels between the two research fields. Adopting a tourism perspective could contribute to our understanding of angling tourists' attitudes and preferences and help identify the factors affecting the recruitment and retention of anglers. The concept of destination loyalty reflects a tourist's intention to revisit or recommend a destination, and provides a suitable avenue for studying (repeated) visits to a fishing destination. This study assessed the destination loyalty of angling tourists targeting Atlantic salmon (Salmo salar L.) and sea trout (Salmo trutta L.) at the Mörrum river in southern Sweden. A structural equation model validated positive relationships between the psychological dimensions of destination image, satisfaction, place attachment and destination loyalty. In addition, centrality of the angling activity to the anglers' life was identified as a precursor of place attachment and subsequent loyalty. Moreover, anglers with a high experience use history for fishing at Mörrum scored higher than other anglers on several of the indicators for image, satisfaction, place attachment and loyalty. These results show how applying a tourism perspective to traditional recreational fisheries research may help to explain angler loyalty to a recreational fishery, which ultimately contributes to the management of visitor numbers and experiences. The measurement model used in this study can inform future studies involving angling destination loyalty and contribute to creating a universal measurement scale for this construct and its antecedents. Finally, this study holds several implications for fishing destination marketing and management in terms of supporting diversification of the visiting angler population and the experiences the destination provides. Management implications The model presented in this study highlights the importance of destination image in promoting satisfaction, place attachment and ultimately destination loyalty in a fishing destination. Moreover, we discuss how understanding angler heterogeneity may inform selective marketing efforts and promote loyalty in a variety of anglers. Additionally, we suggest how improving catch and non-catch related destination attributes could enhance the quality of the fishing experience as a whole, which improves satisfaction and fosters place attachment.","2022","2026-05-02 15:48:46","2026-05-02 15:48:46","","100549","","","39","","","","","","","","","","","","","","","","","","","","","Structural equation modeling; Fishing destination management; Fishing tourism; Revisit intentions; Satisfaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6XLTAZ56","journalArticle","2020","Corrales, X.; Vilas, D.; Piroddi, C.; Steenbeek, J.; Claudet, J.; Lloret, J.; Calò, A.; Franco, A. Di; Font, T.; Ligas, A.; Prato, G.; Sahyoun, R.; Sartor, P.; Guidetti, P.; Coll, M.","Multi-zone marine protected areas: Assessment of ecosystem and fisheries benefits using multiple ecosystem models","Ocean & Coastal Management","","0964-5691","https://doi.org/10.1016/j.ocecoaman.2020.105232","https://www.sciencedirect.com/science/article/pii/S0964569120301423","The current alarming state of many coastal ecosystems and fisheries calls for the development of tools to support recovery of exploited stocks, ensure their sustainable exploitation and protect marine ecosystems. Multi-zone Marine Protected Areas (MPAs) are often advocated to reconcile conservation and fisheries benefits. However, while there is a consensus about the ecological benefits whether such types of MPAs can really provide both benefits is still uncertain. Here, we analysed three existing Northwestern Mediterranean multi-zone MPAs (Cerbère-Banyuls, Cap de Creus and Medes Islands) using a comparative temporal ecosystem modelling approach to assess their effectiveness over time in recovering marine resources and ecosystem in the area. Our results showed differences in the ecological effectiveness of the three MPAs, potentially driven by MPA design, management and implementation features. Temporal increases of benefits were small, whenever detected, and showed slight recoveries of some target species and ecological indicators, mostly in Cerbère-Banyuls and Medes Islands MPAs. Our results confirm the benefits of protection to coastal marine resources and ecosystems when MPAs are enforced but highlight the current limitations of the three MPAs due to their small size and the significant impacts of small-scale and recreational fisheries. This study illustrates the capability to evaluate protection effects of small multi-zone MPAs with an ecosystem modelling perspective and represents the baseline to develop future scenarios of alternative management options to foster ecosystem recovery and resource rebuilding in the studied MPAs.","2020","2026-05-02 15:48:46","2026-05-02 15:48:46","","105232","","","193","","","","","","","","","","","","","","","","","","","","","Small-scale fisheries; Marine protected areas; Ecological indicators; Ecopath model; Recreational fisheries; Northwestern Mediterranean sea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
